data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  f21  f22  f23  f24  f25  f26  f27  f28  f29  f30  f31  f32  f33  f34  f35  f36  f37  f38  f39  f40  f41  f42  f43  f44  f45  f46  f47  f48  f49  f50  f51  f52  f53  f54  f55  f56  f57  f58  f59  f60  ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  B16  B17  B18  B19  B20  B21  B22  B23  B24  B25  B26  B27  B28  B29  B30  B31  B32  B33  B34  B35  B36  B37  B38  B39  B40  ;

set POOLS :=  pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10 pl11 pl12 pl13 pl14 pl15 pl16 pl17 pl18 pl19 pl20 pl21 pl22 pl23 pl24 pl25 pl26 pl27 pl28 pl29 pl30 ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10 sp11 sp12 sp13 sp14 sp15 sp16 sp17 sp18 sp19 sp20 ;

param:		capacity	varcost		revenue		:=
f1		169.00		40.00		.
f2		246.00		27.00		.
f3		188.00		28.00		.
f4		260.00		17.00		.
f5		47.00		18.00		.
f6		43.00		41.00		.
f7		145.00		26.00		.
f8		31.00		41.00		.
f9		161.00		29.00		.
f10		189.00		37.00		.
f11		162.00		20.00		.
f12		209.00		45.00		.
f13		290.00		42.00		.
f14		198.00		39.00		.
f15		150.00		44.00		.
f16		147.00		32.00		.
f17		56.00		23.00		.
f18		116.00		20.00		.
f19		8.00		45.00		.
f20		38.00		11.00		.
f21		300.00		13.00		.
f22		7.00		45.00		.
f23		285.00		16.00		.
f24		219.00		21.00		.
f25		224.00		28.00		.
f26		49.00		38.00		.
f27		29.00		49.00		.
f28		115.00		49.00		.
f29		65.00		39.00		.
f30		40.00		38.00		.
f31		106.00		28.00		.
f32		25.00		22.00		.
f33		69.00		21.00		.
f34		195.00		36.00		.
f35		255.00		10.00		.
f36		221.00		21.00		.
f37		104.00		33.00		.
f38		137.00		37.00		.
f39		5.00		43.00		.
f40		273.00		27.00		.
f41		255.00		47.00		.
f42		52.00		48.00		.
f43		70.00		38.00		.
f44		40.00		37.00		.
f45		269.00		39.00		.
f46		88.00		12.00		.
f47		108.00		35.00		.
f48		78.00		11.00		.
f49		44.00		48.00		.
f50		240.00		13.00		.
f51		296.00		26.00		.
f52		44.00		16.00		.
f53		128.00		32.00		.
f54		174.00		41.00		.
f55		27.00		43.00		.
f56		47.00		34.00		.
f57		207.00		23.00		.
f58		303.00		40.00		.
f59		55.00		33.00		.
f60		150.00		28.00		.
pl1		194.00		.		.
pl2		196.00		.		.
pl3		139.00		.		.
pl4		131.00		.		.
pl5		75.00		.		.
pl6		150.00		.		.
pl7		50.00		.		.
pl8		54.00		.		.
pl9		123.00		.		.
pl10		134.00		.		.
pl11		63.00		.		.
