data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  f21  f22  f23  f24  f25  f26  f27  f28  f29  f30  f31  f32  f33  f34  f35  f36  f37  f38  f39  f40   ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  B16  B17  B18  B19  B20  B21  B22  B23  B24  B25  B26  B27  B28  B29  B30  B31  B32  B33  B34  B35  B36  B37  B38  B39  B40  B41  B42  B43  B44  B45  B46  B47  B48  B49  B50   ;

set POOLS := pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10  pl11  pl12  pl13  pl14  pl15  pl16  pl17  pl18  pl19  pl20  pl21  pl22  pl23  pl24  pl25  pl26  pl27  pl28  pl29  pl30   ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10  sp11  sp12  sp13  sp14   ;

param:     capacity     varcost      revenue      :=
f1         28           47           .           
f2         172          31           .           
f3         117          35           .           
f4         92           47           .           
f5         101          40           .           
f6         130          37           .           
f7         109          34           .           
f8         113          35           .           
f9         114          33           .           
f10        34           36           .           
f11        146          48           .           
f12        10           47           .           
f13        147          42           .           
f14        92           36           .           
f15        28           46           .           
f16        78           43           .           
f17        94           40           .           
f18        72           44           .           
f19        174          42           .           
f20        76           40           .           
f21        151          33           .           
f22        10           47           .           
f23        90           32           .           
f24        96           44           .           
f25        132          46           .           
f26        17           32           .           
f27        133          44           .           
f28        169          42           .           
f29        79           37           .           
f30        68           31           .           
f31        132          47           .           
f32        76           33           .           
f33        135          32           .           
f34        139          41           .           
f35        68           23           .           
f36        82           39           .           
f37        123          40           .           
f38        153          38           .           
f39        164          41           .           
f40        62           44           .           
pl1        134          .            .           
pl2        50           .            .           
pl3        114          .            .           
pl4        90           .            .           
pl5        83           .            .           
pl6        137          .            .           
pl7        87           .            .           
pl8        64           .            .           
pl9        128          .            .           
pl10       68           .            .           
pl11       60           .            .           
pl12       127          .            .           
pl13       122          .            .           
pl14       72           .            .           
pl15       88           .            .           
pl16       105          .            .           
pl17       82           .            .           
pl18       66           .            .           
pl19       64           .            .           
pl20       127          .            .           
pl21       78           .            .           
pl22       90           .            .           
pl23       122          .            .           
pl24       64           .            .           
pl25       123          .            .           
pl26       135          .            .           
pl27       97           .            .           
pl28       64           .            .           
pl29       50           .            .           
pl30       113          .            .           
B1         96           .            43          
B2         166          .            24          
B3         167          .            94          
B4         161          .            69          
B5         73           .            52          
B6         211          .            30          
B7         74           .            66          
B8         93           .            48          
B9         146          .            82          
B10        135          .            27          
B11        156          .            76          
B12        95           .            77          
B13        111          .            42          
