data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  f21  f22  f23  f24  f25  f26  f27  f28  f29  f30  f31  f32  f33  f34  f35  f36  f37  f38  f39  f40   ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  B16  B17  B18  B19  B20  B21  B22  B23  B24  B25  B26  B27  B28  B29  B30  B31  B32  B33  B34  B35  B36  B37  B38  B39  B40  B41  B42  B43  B44  B45  B46  B47  B48  B49  B50   ;

set POOLS := pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10  pl11  pl12  pl13  pl14  pl15  pl16  pl17  pl18  pl19  pl20  pl21  pl22  pl23  pl24  pl25  pl26  pl27  pl28  pl29  pl30   ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10  sp11  sp12  sp13  sp14   ;

param:     capacity     varcost      revenue      :=
f1         120          41           .           
f2         136          40           .           
f3         176          36           .           
f4         77           48           .           
f5         145          31           .           
f6         66           37           .           
f7         141          40           .           
f8         72           38           .           
f9         60           33           .           
f10        65           38           .           
f11        66           47           .           
f12        12           48           .           
f13        81           45           .           
f14        37           36           .           
f15        138          33           .           
f16        42           37           .           
f17        118          26           .           
f18        34           27           .           
f19        105          30           .           
f20        94           27           .           
f21        177          28           .           
f22        42           29           .           
f23        140          40           .           
f24        65           32           .           
f25        125          4            .           
f26        171          39           .           
f27        68           32           .           
f28        178          34           .           
f29        60           33           .           
f30        134          19           .           
f31        87           31           .           
f32        106          29           .           
f33        17           32           .           
f34        65           41           .           
f35        156          28           .           
f36        76           31           .           
f37        60           37           .           
f38        152          42           .           
f39        122          30           .           
f40        10           32           .           
pl1        101          .            .           
pl2        50           .            .           
pl3        73           .            .           
pl4        59           .            .           
pl5        84           .            .           
pl6        81           .            .           
pl7        95           .            .           
pl8        115          .            .           
pl9        116          .            .           
pl10       116          .            .           
pl11       119          .            .           
pl12       112          .            .           
pl13       68           .            .           
pl14       90           .            .           
pl15       82           .            .           
pl16       73           .            .           
pl17       118          .            .           
pl18       134          .            .           
pl19       115          .            .           
pl20       135          .            .           
pl21       116          .            .           
pl22       96           .            .           
pl23       69           .            .           
pl24       58           .            .           
pl25       136          .            .           
pl26       64           .            .           
pl27       97           .            .           
pl28       109          .            .           
pl29       63           .            .           
pl30       54           .            .           
B1         216          .            25          
B2         143          .            85          
B3         126          .            93          
B4         87           .            94          
B5         83           .            47          
B6         97           .            24          
B7         219          .            44          
B8         184          .            95          
B9         157          .            56          
B10        124          .            87          
B11        203          .            22          
B12        116          .            33          
B13        219          .            85          
B14        188          .            27          
B15        115          .            89          
B16        164          .            17          
B17        162          .            97          
B18        110          .            72          
B19        87           .            17          
B20        171          .            93          
B21        167          .            29          
B22        140          .            99          
B23        74           .            96          
B24        159          .            82          
B25        93           .            20          
B26        104          .            17          
B27        219          .            52          
B28        139          .            67          
B29        139          .            52          
B30        201          .            93          
B31        171          .            20          
B32        91           .            32          
B33        194          .            69          
B34        169          .            99          
B35        122          .            60          
B36        85           .            53          
B37        117          .            64          
B38        107          .            85          
B39        177          .            42          
B40        178          .            76          
B41        172          .            72          
B42        77           .            64          
B43        118          .            94          
B44        113          .            20          
B45        143          .            75          
B46        126          .            18          
B47        218          .            81          
B48        190          .            77          
B49        89           .            37          
B50        168          .            96           ;

