data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  f21  f22  f23  f24  f25  f26  f27  f28  f29  f30  f31  f32  f33  f34  f35  f36  f37  f38  f39  f40  f41  f42  f43  f44  f45  f46  f47  f48  f49  f50  f51  f52  f53  f54  f55  f56  f57  f58  f59  f60  ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  B16  B17  B18  B19  B20  B21  B22  B23  B24  B25  B26  B27  B28  B29  B30  B31  B32  B33  B34  B35  B36  B37  B38  B39  B40  ;

set POOLS :=  pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10 pl11 pl12 pl13 pl14 pl15 pl16 pl17 pl18 pl19 pl20 pl21 pl22 pl23 pl24 pl25 pl26 pl27 pl28 pl29 pl30 ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10 sp11 sp12 sp13 sp14 sp15 sp16 sp17 sp18 sp19 sp20 ;

param:		capacity	varcost		revenue		:=
f1		100.00		44.00		.
f2		231.00		17.00		.
f3		44.00		15.00		.
f4		7.00		38.00		.
f5		204.00		16.00		.
f6		236.00		11.00		.
f7		6.00		12.00		.
f8		72.00		29.00		.
f9		297.00		33.00		.
f10		153.00		18.00		.
f11		92.00		22.00		.
f12		11.00		41.00		.
f13		28.00		24.00		.
f14		228.00		14.00		.
f15		155.00		29.00		.
f16		274.00		14.00		.
f17		276.00		26.00		.
f18		124.00		23.00		.
f19		6.00		20.00		.
f20		197.00		47.00		.
f21		118.00		11.00		.
f22		33.00		22.00		.
f23		129.00		33.00		.
f24		152.00		15.00		.
f25		185.00		39.00		.
f26		125.00		20.00		.
f27		282.00		37.00		.
f28		127.00		21.00		.
f29		118.00		10.00		.
f30		162.00		44.00		.
f31		92.00		40.00		.
f32		18.00		46.00		.
f33		131.00		24.00		.
f34		178.00		42.00		.
f35		258.00		20.00		.
f36		84.00		11.00		.
f37		245.00		40.00		.
f38		289.00		24.00		.
f39		259.00		15.00		.
f40		237.00		32.00		.
f41		184.00		46.00		.
f42		212.00		49.00		.
f43		235.00		46.00		.
f44		267.00		33.00		.
f45		132.00		36.00		.
f46		64.00		27.00		.
f47		107.00		28.00		.
f48		82.00		36.00		.
f49		209.00		31.00		.
f50		112.00		27.00		.
f51		20.00		20.00		.
f52		32.00		13.00		.
f53		103.00		43.00		.
f54		128.00		26.00		.
f55		252.00		50.00		.
f56		296.00		42.00		.
f57		112.00		43.00		.
f58		92.00		27.00		.
f59		233.00		10.00		.
f60		139.00		36.00		.
pl1		184.00		.		.
pl2		144.00		.		.
pl3		101.00		.		.
pl4		103.00		.		.
pl5		63.00		.		.
pl6		64.00		.		.
pl7		75.00		.		.
pl8		135.00		.		.
pl9		138.00		.		.
pl10		152.00		.		.
pl11		145.00		.		.
pl12		75.00		.		.
pl13		179.00		.		.
pl14		148.00		.		.
pl15		108.00		.		.
pl16		62.00		.		.
pl17		194.00		.		.
pl18		62.00		.		.
pl19		108.00		.		.
pl20		137.00		.		.
pl21		169.00		.		.
pl22		154.00		.		.
pl23		121.00		.		.
pl24		181.00		.		.
pl25		154.00		.		.
pl26		141.00		.		.
pl27		127.00		.		.
pl28		175.00		.		.
pl29		95.00		.		.
pl30		96.00		.		.
B1		136.00		.		49.00
B2		189.00		.		49.00
B3		141.00		.		40.00
B4		167.00		.		45.00
B5		130.00		.		50.00
B6		162.00		.		43.00
B7		295.00		.		49.00
B8		225.00		.		45.00
B9		121.00		.		49.00
B10		134.00		.		46.00
B11		174.00		.		40.00
B12		27.00		.		41.00
B13		66.00		.		43.00
B14		267.00		.		47.00
B15		105.00		.		40.00
B16		224.00		.		41.00
B17		75.00		.		40.00
B18		204.00		.		43.00
B19		73.00		.		44.00
B20		217.00		.		46.00
B21		197.00		.		41.00
B22		217.00		.		40.00
B23		198.00		.		46.00
B24		221.00		.		41.00
B25		147.00		.		42.00
B26		248.00		.		43.00
B27		154.00		.		43.00
B28		153.00		.		50.00
B29		103.00		.		43.00
B30		253.00		.		41.00
B31		232.00		.		49.00
B32		202.00		.		49.00
B33		43.00		.		40.00
B34		276.00		.		46.00
B35		282.00		.		47.00
B36		72.00		.		49.00
B37		24.00		.		47.00
B38		123.00		.		44.00
B39		237.00		.		40.00
B40		295.00		.		44.00		;

